                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5465,                 3.9495,                 4.2231,                0.00208,                0.56296,                0.00313,                0.00063,                 3.5896,                 4.0729,                 4.1186,                 0.0757,                 0.0027,                 0.0027
                      1,                 3.4353,                 3.7888,                 4.1471,                0.00229,                0.63704,                0.00409,                 0.0008,                 3.5169,                 3.9841,                 4.0732,               0.050137,               0.005137,               0.005137
                      2,                  3.344,                 3.3429,                 4.0438,                0.00251,                0.71852,                0.00481,                 0.0009,                 3.4639,                 3.8517,                 4.0464,               0.024204,              0.0072044,              0.0072044
                      3,                 3.1588,                 2.8608,                 3.8368,                0.01785,                0.06667,                0.01073,                0.00242,                 3.2793,                 3.9562,                 3.9859,                0.00802,                0.00802,                0.00802
                      4,                 2.7165,                 2.7866,                 3.6419,                0.08516,                0.41481,                0.07174,                0.02115,                 2.4921,                 9.5174,                 4.7195,                0.00802,                0.00802,                0.00802
                      5,                 2.5243,                 2.3922,                  3.388,                  0.462,                0.54074,                 0.4656,                0.17069,                 2.3983,                 8.5363,                 5.4907,                0.00736,                0.00736,                0.00736
                      6,                 2.2813,                 2.1155,                 3.1347,                0.57487,                 0.4207,                0.50186,                0.19268,                 2.1314,                 6.2737,                 4.2537,                 0.0067,                 0.0067,                 0.0067
                      7,                  2.105,                 1.9221,                 2.9126,                0.19538,                0.48148,                0.18193,                0.08017,                 1.9261,                 2.8828,                 3.0375,                0.00604,                0.00604,                0.00604
                      8,                 2.0381,                 1.7955,                 2.7819,                0.87929,                0.79259,                 0.8603,                0.42421,                 1.7229,                 2.0722,                 2.7365,                0.00538,                0.00538,                0.00538
                      9,                 1.8562,                 1.5272,                 2.6391,                0.43639,                0.48148,                0.43768,                0.15191,                 2.3148,                  2.327,                 3.1603,                0.00472,                0.00472,                0.00472
                     10,                 1.8054,                   1.48,                 2.6129,                0.82249,                0.81481,                0.90346,                0.52619,                 1.5984,                 1.6301,                 2.6338,                0.00406,                0.00406,                0.00406
                     11,                 1.6358,                  1.329,                 2.4645,                0.92825,                0.86248,                0.93418,                0.60158,                 1.4353,                 1.4167,                 2.4389,                 0.0034,                 0.0034,                 0.0034
                     12,                 1.5973,                 1.2788,                 2.3869,                0.90064,                0.87407,                0.93016,                0.63447,                 1.3093,                 1.3137,                 2.3025,                0.00274,                0.00274,                0.00274
                     13,                  1.498,                 1.1669,                 2.2989,                0.93678,                0.87805,                0.93839,                0.58358,                 1.4353,                 1.3084,                 2.3658,                0.00208,                0.00208,                0.00208
                     14,                 1.4811,                 1.1664,                 2.2741,                 0.9836,                0.88842,                0.97226,                0.70061,                 1.1639,                 1.1646,                 2.1721,                0.00142,                0.00142,                0.00142
